Dates,Open ,High,Low,Close,Volume
12-06-2000,1461,1472,1451,1452.75,0
13-06-2000,1442,1449,1430,1438.75,0
14-06-2000,1455,1463.1,1444.1,1449.5,0
15-06-2000,1445,1455,1436,1448.7,0
16-06-2000,1456.7,1478.9,1452,1476.3,0
19-06-2000,1482,1508,1479,1497.65,0
20-06-2000,1523,1523,1500,1513.95,0
21-06-2000,1518.95,1519,1485,1486.15,0
22-06-2000,1483.1,1499,1474,1493.35,0
23-06-2000,1495,1499,1475,1477.7,0
26-06-2000,1471,1472,1444,1462,0
27-06-2000,1465,1467,1455,1455.9,0
28-06-2000,1456,1469.9,1456,1469.75,0
29-06-2000,1485,1499.9,1485,1490.35,0
30-06-2000,1487,1495,1480,1484.55,0
03-07-2000,1490.5,1503,1490,1501.25,0
04-07-2000,1502,1515,1499.5,1514.4,0
05-07-2000,1522,1527,1512.05,1522.7,0
06-07-2000,1510,1521,1510,1517.9,0
07-07-2000,1520,1523,1514.75,1517.7,0
10-07-2000,1524.4,1524.4,1506.5,1509.4,0
11-07-2000,1517,1520.5,1508,1518.95,0
12-07-2000,1513.25,1538.5,1510.5,1536.5,0
13-07-2000,1542,1564,1520,1523.2,0
14-07-2000,1526,1532,1508.05,1511.9,0
17-07-2000,1513.5,1513.5,1482.05,1483.35,0
18-07-2000,1484.5,1484.8,1465,1466.05,0
19-07-2000,1470,1471.5,1443,1444,0
20-07-2000,1441.1,1450,1425,1431.65,0
21-07-2000,1443,1443,1401,1407.6,0
24-07-2000,1390,1390,1318,1323,0
25-07-2000,1290,1364.9,1280,1350.9,0
26-07-2000,1358.85,1370,1312,1316.85,0
27-07-2000,1320,1339,1301,1336.8,0
28-07-2000,1350,1370,1348,1349.55,0
31-07-2000,1342,1352,1340,1347.75,0
01-08-2000,1353.15,1355,1340,1344,0
02-08-2000,1337,1347,1326,1344.45,0
03-08-2000,1340,1350,1330,1330.1,0
04-08-2000,1333,1340,1315,1328.05,0
07-08-2000,1325.5,1329,1314,1322.95,0
08-08-2000,1328,1358.9,1328,1353.5,0
09-08-2000,1362,1378,1356.05,1356.1,0
10-08-2000,1367,1369.9,1335.05,1338,0
11-08-2000,1328,1332,1315.05,1317.9,0
14-08-2000,1308,1327.7,1305,1325.2,0
16-08-2000,1350,1357.9,1338,1357.9,0
17-08-2000,1356,1368.95,1341.8,1343.8,0
18-08-2000,1349,1364.3,1349,1364.3,0
21-08-2000,1373.95,1375.8,1365.55,1374.95,0
22-08-2000,1383,1389.7,1375.5,1381.75,0
23-08-2000,1389.5,1395,1380,1384,0
24-08-2000,1374,1385.1,1374,1382.6,0
25-08-2000,1385.1,1392,1380,1380.95,0
28-08-2000,1377.95,1379,1325,1373,0
29-08-2000,1369,1369,1360,1366.75,0
30-08-2000,1377,1377,1370.25,1374,0
31-08-2000,1384.5,1393.9,1378.9,1392.35,0
04-09-2000,1428,1440,1413,1429,0
05-09-2000,1433,1433.5,1428.25,1433,0
06-09-2000,1434,1445,1428,1438.3,0
07-09-2000,1447,1455,1435,1445.7,0
08-09-2000,1451.8,1474,1448,1471.7,0
11-09-2000,1457,1468,1453.1,1454.45,0
12-09-2000,1460,1474,1448,1471.7,0
13-09-2000,1479.1,1480,1453,1456.85,0
14-09-2000,1460.05,1464,1440,1451.25,0
15-09-2000,1445,1449.95,1422.05,1424.35,0
18-09-2000,1390,1401,1360,1364.6,0
19-09-2000,1370,1373,1302.2,1328.75,0
20-09-2000,1330,1356,1320,1349.35,0
21-09-2000,1340,1350,1330,1331.45,0
22-09-2000,1300,1318,1265,1272.9,0
25-09-2000,1283,1295,1278,1293.35,0
26-09-2000,1271.25,1286,1261,1265.8,0
27-09-2000,1254.85,1300,1245,1294.9,0
28-09-2000,1300,1303.3,1267,1267.05,0
29-09-2000,1285,1289,1275,1282.8,0
03-10-2000,1287.9,1295,1260,1290.7,0
04-10-2000,1302,1310,1290.05,1308.85,0
05-10-2000,1314.9,1325,1290,1291.6,0
06-10-2000,1285,1294,1273,1293.1,0
09-10-2000,1288,1288,1274.1,1275,0
10-10-2000,1271,1277.2,1235,1245.2,0
11-10-2000,1230,1230.05,1202.5,1210.4,0
12-10-2000,1195,1219.5,1190,1214.25,0
13-10-2000,1192.95,1195,1178.75,1184.75,0
16-10-2000,1227,1229,1183.5,1185.05,0
17-10-2000,1172,1175,1150,1164.4,0
18-10-2000,1151,1157,1133,1140.9,0
19-10-2000,1168.8,1168.8,1111.15,1168.8,0
20-10-2000,1200,1214,1078,1138.85,0
23-10-2000,1165,1165,1142.5,1144.9,0
24-10-2000,1136,1155,1136,1153.05,0
25-10-2000,1164,1189.7,1164,1182.85,0
27-10-2000,1205,1205,1181.3,1188.9,0
30-10-2000,1190,1194,1174.9,1175,0
31-10-2000,1179.45,1182,1164,1181.6,0
01-11-2000,1194.95,1210.5,1193.05,1207.6,0
02-11-2000,1209,1232,1209,1230.8,0
03-11-2000,1236,1259,1233,1249.1,0
06-11-2000,1234,1265,1160.25,1245.65,0
07-11-2000,1240,1257,1236.5,1253.9,0
08-11-2000,1261,1280,1261,1266.05,0
09-11-2000,1267.05,1280,1254,1272.05,0
10-11-2000,1269,1269,1242,1243,0
13-11-2000,1230.05,1254,1208,1213.4,0
14-11-2000,1219,1253,1217.5,1248.35,0
15-11-2000,1259.8,1273,1248,1249.6,0
16-11-2000,1266,1266,1233,1236.6,0
17-11-2000,1227.5,1329.85,1222,1239.85,0
20-11-2000,1237,1243.5,1236,1240.95,0
21-11-2000,1230.1,1239.9,1228,1238.85,0
22-11-2000,1246,1246,1220,1223.1,0
23-11-2000,1225,1227,1215,1217.05,0
24-11-2000,1224,1232,1224,1227.05,0
27-11-2000,1234,1256.5,1233,1254.85,0
28-11-2000,1251.6,1273.5,1251.6,1271.55,0
29-11-2000,1274.9,1279.5,1255.5,1265.7,0
30-11-2000,1181,1270,1181,1269.4,0
01-12-2000,1264,1285,1262.5,1282.7,910
04-12-2000,1285,1292.9,1276.15,1281.65,409
05-12-2000,1280,1294,1280,1290.6,539
06-12-2000,1318,1320,1300,1301.15,194
07-12-2000,1304.45,1310,1298,1303.2,147
08-12-2000,1308,1318.8,1308,1316.9,255
