Dates,Open,High,Low,Close,Volume
2000-01-03,112.77,116.56,110.38,116.56,658125
2000-01-04,122.93,122.93,114.37,117.19,944225
2000-01-05,117.89,117.89,109.17,114.78,1056225
2000-01-06,114.69,114.77,107.89,108.44,1033850
2000-01-07,109.57,111.16,99.77,99.78,2079250
2000-01-10,103.01,103.89,95.26,96.45,3309750
2000-01-11,97.98,97.98,88.73,89.12,5842975
2000-01-12,94.78,96.25,94.78,96.25,231750
2000-01-13,103.95,103.95,102.47,103.74,2824350
2000-01-14,103.89,104.34,97.58,102.43,2210288
2000-01-17,106.77,107.17,99.99,101.58,1716813
2000-01-18,103.49,103.49,95.98,97.59,1615350
2000-01-19,93.98,97.57,90.54,96.28,4145913
2000-01-20,96.38,97.82,96.06,96.68,1393813
2000-01-21,96.78,96.78,92.78,96.06,1349000
2000-01-24,97.42,97.89,94.78,96.94,2122813
2000-01-25,95.58,96.62,94.06,95.52,2057850
2000-01-27,97.98,97.98,94.78,95.2,1048413
2000-01-28,96.78,97.18,93.66,94.68,807313
2000-01-31,92.94,94.77,92.38,93.82,952288
2000-02-01,94.78,98.54,92.78,97.54,1791750
2000-02-02,99.9,103.57,99.18,101.64,2110788
2000-02-03,103.09,103.89,98.78,99.45,909625
2000-02-04,99.58,99.97,95.67,97.27,946500
2000-02-07,97.58,99.58,95.58,97.64,2471063
2000-02-08,96.06,98.74,94.8,96.43,2105188
2000-02-09,98.78,101.17,96.86,97.43,904413
2000-02-10,95.98,96.94,94.78,95.78,891475
2000-02-11,95.98,95.98,91.98,93.23,706250
2000-02-14,92.38,93.5,87.98,92.17,1775563
2000-02-15,90.46,92.7,89.58,92.12,1142913
2000-02-16,93.18,94.38,91.98,93.16,385625
2000-02-17,95.5,100.61,92.62,100.6,2129313
2000-02-18,103.07,103.07,94.78,96.07,2484563
2000-02-21,97.18,99.02,91.18,93.31,1567475
2000-02-22,92.78,94.38,88.86,90.12,1807475
2000-02-23,93.9,95.98,90.78,91.45,1211350
