Dates,Open,High,Low,Close,Volume
2000-01-03,22.28,23,22.12,23,25155812
2000-01-04,23,24.74,22.55,24.46,47654087
2000-01-05,23.51,24.99,23.13,23.46,36400434
2000-01-06,23.79,25.3,23.79,24.64,70582153
2000-01-07,24.69,26.43,24.08,25.8,83462902
2000-01-10,26.44,27.37,25.04,25.44,58503812
2000-01-11,25.19,25.21,23.41,23.41,25732210
2000-01-12,23.04,23.74,22.34,23.11,29733287
2000-01-13,23.23,24.13,22.95,23.08,34203279
2000-01-14,23.13,23.13,22.48,22.58,15969095
2000-01-17,23.07,23.7,21.93,22.27,46489653
2000-01-18,22.37,22.75,22.07,22.32,28689649
2000-01-19,22.74,23.37,22.66,23.03,26626232
2000-01-20,22.94,23.11,22.31,22.44,12279526
2000-01-21,22.54,22.64,22.23,22.42,12493251
2000-01-24,22.34,22.69,21.44,21.55,19669423
2000-01-25,21.34,21.52,21.02,21.23,23600658
2000-01-27,21.62,22.23,21.53,21.73,21207554
2000-01-28,21.97,23.47,21.97,23.46,52768401
2000-01-31,23.23,24.24,22.9,23.1,51187330
2000-02-01,23.13,23.67,22.92,23.27,23282186
2000-02-02,24.26,24.42,23.23,23.37,24679742
2000-02-03,23.6,25.01,23.47,24.43,77726367
2000-02-04,24.55,25,24.03,24.16,33986184
2000-02-07,24.42,24.42,23,23.36,21821613
2000-02-08,23.32,23.46,22.73,22.88,25421349
2000-02-09,23.98,23.98,22.96,23.17,14957977
2000-02-10,22.87,23.69,22.87,23.49,19543539
2000-02-11,23.7,24.33,23.28,23.61,31627424
2000-02-14,23.79,25.51,23.73,25.17,67715619
2000-02-15,25.67,25.68,23.32,23.97,50325161
2000-02-16,24.26,24.26,23.37,23.6,21686179
2000-02-17,23.41,23.96,23.32,23.6,18450580
2000-02-18,23.77,23.87,22.56,22.76,16002697
2000-02-21,22.94,23.5,22.66,23.06,21334509
2000-02-22,23.13,23.26,22.09,22.39,17505212
2000-02-23,23.12,23.41,21.9,22.1,13532278
2000-02-24,22.28,23.32,22.12,22.98,16695428
2000-02-25,22.85,23.27,22.58,22.75,11085052
2000-02-28,22.75,23.48,22.4,23.17,15617350
2000-02-29,23.5,24.74,21.32,21.6,41247579
2000-03-01,22,22.8,21.24,22.3,21713961
2000-03-02,22.56,22.79,21.05,21.34,24394691
2000-03-03,21.05,21.52,19.63,19.66,18474143
2000-03-06,20.27,21.15,19.18,20.03,25171161
2000-03-07,20.03,20.16,19.12,19.59,21694553
2000-03-08,19.73,19.73,18.02,18.08,18165042
2000-03-09,18.08,18.32,16.63,16.89,24884934
2000-03-10,17.08,17.08,15.88,16.09,13938273
2000-03-13,16.36,16.9,15.39,15.52,19335793
2000-03-14,15.91,16.76,15.21,16.76,22511376
2000-03-15,16.77,18.03,16.52,17.61,25068576
2000-03-16,17.55,19.02,17.23,18.85,38481436
2000-03-21,19.25,20.36,18.72,20.1,33730622
2000-03-22,20.27,20.53,19.53,20.03,24594837
2000-03-23,19.83,19.99,18.62,18.92,19463860
2000-03-24,18.79,19.02,18.35,18.62,12180555
2000-03-27,18.69,19.07,17.85,18.23,16186911
2000-03-28,18.08,19.25,17.64,18.92,27229193
2000-03-29,19.35,19.49,18.41,18.65,29241762
2000-03-30,18.79,19.31,17.5,18.93,27149196
2000-03-31,18.69,19.81,18.15,19.33,50102628
2000-04-03,19.35,20.74,19.35,20.14,41594660
2000-04-04,19.88,19.97,18.53,18.54,31100167
2000-04-05,18.6,19.17,17.7,18.52,22843331
2000-04-06,18.69,19.49,18.34,19.25,35524920
2000-04-07,19.26,20.72,19.26,20.59,78985606
2000-04-10,20.7,21.86,19.86,20.89,132090245
2000-04-11,20.58,21.14,19.75,20.84,53579882
