Dates,Open,High,Low,Close,Volume,roc_1,roc_2,roc_3,roc_average,roc_indicator,Signal,Trades
12-06-2000,1461,1472,1451,1452.75,0,0,0,0,0,0,,
13-06-2000,1442,1449,1430,1438.75,0,0,0,0,0,0,,
14-06-2000,1455,1463.1,1444.1,1449.5,0,0,0,0,0,0,,
15-06-2000,1445,1455,1436,1448.7,0,0,0,0,0,0,,
16-06-2000,1456.7,1478.9,1452,1476.3,0,0,0,0,0,0,,
19-06-2000,1482,1508,1479,1497.65,0,0,0,0,0,0,,
20-06-2000,1523,1523,1500,1513.95,0,0,0,0,0,0,,
21-06-2000,1518.95,1519,1485,1486.15,0,0,0,0,0,0,,
22-06-2000,1483.1,1499,1474,1493.35,0,0,0,0,0,0,,
23-06-2000,1495,1499,1475,1477.7,0,0,0,0,0,0,,
26-06-2000,1471,1472,1444,1462,0,0.000636723,0,0,0.000212241,0,0,
27-06-2000,1465,1467,1455,1455.9,0,0.001192007,0,0,0.000397336,0,0,0
28-06-2000,1456,1469.9,1456,1469.75,0,0.001397033,0,0,0.000465678,0,0,0
29-06-2000,1485,1499.9,1485,1490.35,0,0.002874991,0,0,0.00095833,0,0,0
30-06-2000,1487,1495,1480,1484.55,0,0.00055883,0,0,0.000186277,0,0,0
03-07-2000,1490.5,1503,1490,1501.25,0,0.000240377,0,0,8.01E-05,0,0,0
04-07-2000,1502,1515,1499.5,1514.4,0,2.97E-05,0,0,9.91E-06,0,0,0
05-07-2000,1522,1527,1512.05,1522.7,0,0.002459375,0,0,0.000819792,0,0,0
06-07-2000,1510,1521,1510,1517.9,0,0.001643955,0,0,0.000547985,0,0,0
07-07-2000,1520,1523,1514.75,1517.7,0,0.002706909,0,0,0.000902303,0,0,0
10-07-2000,1524.4,1524.4,1506.5,1509.4,0,0.003242134,0,0,0.001080711,0,0,0
11-07-2000,1517,1520.5,1508,1518.95,0,0.004330655,0,0,0.001443552,0,0,0
12-07-2000,1513.25,1538.5,1510.5,1536.5,0,0.004541589,0,0,0.001513863,0,0,0
13-07-2000,1542,1564,1520,1523.2,0,0.00220418,0,0,0.000734727,0,0,0
14-07-2000,1526,1532,1508.05,1511.9,0,0.001842309,0,0,0.000614103,0,0,0
17-07-2000,1513.5,1513.5,1482.05,1483.35,0,-0.00119234,0.00084254,0,-0.0001166,0,0,0
18-07-2000,1484.5,1484.8,1465,1466.05,0,-0.003192684,0.000758992,0,-0.00081123,0,0,0
19-07-2000,1470,1471.5,1443,1444,0,-0.005168451,-0.000151776,0,-0.001773409,-1,-1,-1
20-07-2000,1441.1,1450,1425,1431.65,0,-0.005682193,-0.000470767,0,-0.002050986,-1,-1,0
21-07-2000,1443,1443,1401,1407.6,0,-0.007254398,-0.00186141,0,-0.003038603,-1,-1,0
24-07-2000,1390,1390,1318,1323,0,-0.012349278,-0.004664641,0,-0.005671306,-1,-1,0
25-07-2000,1290,1364.9,1280,1350.9,0,-0.011063564,-0.004307936,0,-0.005123833,-1,-1,0
26-07-2000,1358.85,1370,1312,1316.85,0,-0.014295477,-0.004556741,0,-0.006284072,-1,-1,0
27-07-2000,1320,1339,1301,1336.8,0,-0.012237395,-0.004193257,0,-0.005476884,-1,-1,0
28-07-2000,1350,1370,1348,1349.55,0,-0.010738144,-0.003468904,0,-0.004735683,-1,-1,0
31-07-2000,1342,1352,1340,1347.75,0,-0.00914147,-0.003125855,0,-0.004089108,-1,-1,0
01-08-2000,1353.15,1355,1340,1344,0,-0.008325091,-0.003074387,0,-0.003799826,-1,-1,0
02-08-2000,1337,1347,1326,1344.45,0,-0.006894044,-0.003410104,0,-0.003434716,-1,-1,0
03-08-2000,1340,1350,1330,1330.1,0,-0.007093214,-0.004301003,0,-0.003798072,-1,-1,0
04-08-2000,1333,1340,1315,1328.05,0,-0.005651463,-0.004216766,0,-0.00328941,-1,-1,0
07-08-2000,1325.5,1329,1314,1322.95,0,-3.78E-06,-0.004750708,-0.002233695,-0.002329394,0,0,1
08-08-2000,1328,1358.9,1328,1353.5,0,0.000192464,-0.004249868,-0.001481321,-0.001846241,0,0,0
09-08-2000,1362,1378,1356.05,1356.1,0,0.002980598,-0.004376437,-0.0016109,-0.001002246,0,0,0
10-08-2000,1367,1369.9,1335.05,1338,0,8.98E-05,-0.00474076,-0.001910333,-0.002187109,0,0,0
11-08-2000,1328,1332,1315.05,1317.9,0,-0.002345226,-0.005265863,-0.002682382,-0.003431157,0,0,0
14-08-2000,1308,1327.7,1305,1325.2,0,-0.001673159,-0.00488141,-0.002878677,-0.003144415,0,0,0
16-08-2000,1350,1357.9,1338,1357.9,0,0.001034226,-0.004241088,-0.002576868,-0.00192791,0,0,0
17-08-2000,1356,1368.95,1341.8,1343.8,0,-4.83E-05,-0.005016596,-0.00239461,-0.002486518,0,0,0
18-08-2000,1349,1364.3,1349,1364.3,0,0.002571235,-0.004172794,-0.002160411,-0.00125399,0,0,0
21-08-2000,1373.95,1375.8,1365.55,1374.95,0,0.003531494,-0.003623256,-0.001738343,-0.000610035,0,0,0
22-08-2000,1383,1389.7,1375.5,1381.75,0,0.004444612,-0.002739744,-0.001372264,0.000110868,0,0,0
23-08-2000,1389.5,1395,1380,1384,0,0.002253417,-0.002238669,-0.001234631,-0.000406628,0,0,0
24-08-2000,1374,1385.1,1374,1382.6,0,0.001954133,-0.001700831,-0.001482395,-0.000409698,0,0,0
25-08-2000,1385.1,1392,1380,1380.95,0,0.003210015,-0.001416547,-0.001835139,-1.39E-05,1,1,1
28-08-2000,1377.95,1379,1325,1373,0,0.004180894,-0.000983234,-0.001878515,0.000439715,1,1,0
29-08-2000,1369,1369,1360,1366.75,0,0.003135376,0.001322751,-0.0022398,0.000739442,1,1,0
30-08-2000,1377,1377,1370.25,1374,0,0.001185654,0.000683988,-0.00231775,-0.000149369,1,1,0
