DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
1,2000-07-03,2000-07-17,-0.034962349999999975,2000-07-12,14 days,5 days
2,2000-07-25,2000-07-26,-0.018776699999999952,2000-07-25,1 days,1 days
3,2000-07-27,2000-08-11,-0.02686065000000014,2000-08-09,15 days,2 days
4,2000-08-14,2000-09-22,-0.11171870000000007,2000-09-08,39 days,14 days
5,2000-09-25,2000-09-26,-0.01468309999999986,2000-09-25,1 days,1 days
6,2000-09-27,2000-10-10,-0.03345969999999995,2000-10-04,13 days,6 days
7,2000-10-12,2000-10-13,-0.0029991499999999067,2000-10-12,1 days,1 days
8,2000-10-16,2000-10-17,-0.00023369999999995342,2000-10-16,1 days,1 days
9,2000-10-19,2000-10-20,-0.02173409999999986,2000-10-19,1 days,1 days
10,2000-10-23,2001-03-13,-0.22410845000000007,2001-02-15,141 days,26 days
11,2001-03-14,2001-04-02,-0.06058979999999981,2001-03-28,19 days,5 days
12,2001-04-06,2001-04-10,-0.01044,2001-04-06,4 days,4 days
13,2001-04-16,2001-09-11,-0.13613599999999976,2001-05-29,148 days,105 days
14,2001-09-18,2001-09-21,-0.04399039999999991,2001-09-19,3 days,2 days
15,2001-09-24,2003-10-06,-0.49256930000000004,2002-10-28,742 days,343 days
16,2003-10-07,2003-10-09,-0.00497025,2003-10-07,2 days,2 days
17,2003-10-14,2003-10-16,-0.02231325,2003-10-14,2 days,2 days
18,2003-10-20,2003-11-03,-0.0673275,2003-10-23,14 days,11 days
19,2003-11-05,2003-12-01,-0.05964505000000028,2003-11-20,26 days,11 days
20,2003-12-02,2003-12-03,-0.0015116499999999068,2003-12-02,1 days,1 days
21,2003-12-05,2003-12-09,-0.01804725,2003-12-05,4 days,4 days
22,2003-12-17,2003-12-18,-0.0024988499999998603,2003-12-17,1 days,1 days
23,2003-12-23,2003-12-24,-0.0040105,2003-12-23,1 days,1 days
24,2004-01-06,2004-01-08,-0.01809180000000028,2004-01-06,2 days,2 days
25,2004-01-12,2004-01-14,-0.015764199999999954,2004-01-12,2 days,2 days
26,2004-01-15,2004-11-30,-0.36097285000000007,2004-05-17,320 days,197 days
27,2004-12-06,2004-12-14,-0.015406649999999675,2004-12-10,8 days,4 days
28,2004-12-17,2004-12-21,-0.010449950000000187,2004-12-17,4 days,4 days
29,2004-12-22,2004-12-24,-0.007077350000000093,2004-12-22,2 days,2 days
30,2004-12-29,2004-12-31,-0.00907025,2004-12-30,2 days,1 days
31,2005-01-04,2005-03-03,-0.09994334999999963,2005-01-24,58 days,38 days
32,2005-03-09,2005-06-21,-0.13599109999999962,2005-04-29,104 days,53 days
33,2005-06-28,2005-06-29,-0.0065098000000000465,2005-06-28,1 days,1 days
34,2005-07-01,2005-07-04,-0.0061875,2005-07-01,3 days,3 days
35,2005-07-05,2005-07-18,-0.026595,2005-07-07,13 days,11 days
36,2005-07-21,2005-07-22,-0.00531,2005-07-21,1 days,1 days
37,2005-07-29,2005-08-02,-0.004384800000000046,2005-08-01,4 days,1 days
38,2005-08-03,2005-08-04,-0.00378,2005-08-03,1 days,1 days
39,2005-08-05,2005-08-10,-0.022636800000000047,2005-08-09,5 days,1 days
40,2005-08-12,2005-08-17,-0.00883440000000014,2005-08-12,5 days,5 days
41,2005-08-18,2005-09-02,-0.041104800000000045,2005-08-29,15 days,4 days
42,2005-09-09,2005-09-12,-0.0011816000000000931,2005-09-09,3 days,3 days
43,2005-09-14,2005-09-15,-0.001287100000000093,2005-09-14,1 days,1 days
44,2005-09-21,2005-09-27,-0.03730480000000005,2005-09-23,6 days,4 days
45,2005-09-30,2005-10-03,-0.007007,2005-09-30,3 days,3 days
46,2005-10-05,2005-11-24,-0.14033250000000022,2005-10-28,50 days,27 days
47,2005-11-29,2005-12-09,-0.027759100000000092,2005-11-30,10 days,9 days
48,2005-12-14,2005-12-16,-0.013590850000000093,2005-12-15,2 days,1 days
49,2005-12-20,2006-01-03,-0.03924570000000019,2005-12-26,14 days,8 days
50,2006-01-05,2006-01-06,-0.0021947999999998137,2006-01-05,1 days,1 days
51,2006-01-09,2006-01-20,-0.034922100000000095,2006-01-18,11 days,2 days
52,2006-01-23,2006-01-24,-0.005628599999999627,2006-01-23,1 days,1 days
53,2006-01-30,2006-01-31,-0.0021947999999998137,2006-01-30,1 days,1 days
54,2006-02-01,2006-02-07,-0.026789850000000094,2006-02-03,6 days,4 days
55,2006-02-08,2006-02-10,-0.0037296000000000933,2006-02-08,2 days,2 days
56,2006-02-14,2006-02-21,-0.016583399999999908,2006-02-17,7 days,4 days
57,2006-02-24,2006-02-28,-0.005994,2006-02-24,4 days,4 days
58,2006-03-07,2006-03-16,-0.03341,2006-03-08,9 days,8 days
59,2006-03-21,2006-03-24,-0.00794625,2006-03-22,3 days,2 days
60,2006-03-31,2006-04-03,-0.00449755000000028,2006-03-31,3 days,3 days
61,2006-04-07,2006-04-18,-0.047378099999999625,2006-04-13,11 days,5 days
62,2006-04-24,2006-05-02,-0.03469119999999972,2006-04-25,8 days,7 days
63,2006-05-11,2006-10-16,-0.3410699500000007,2006-06-14,158 days,124 days
64,2006-10-17,2006-10-27,-0.016902400000000373,2006-10-23,10 days,4 days
65,2006-10-31,2006-11-02,-0.0060515,2006-10-31,2 days,2 days
66,2006-11-07,2006-11-10,-0.008272599999999627,2006-11-08,3 days,2 days
