Dates,PNL,%PNL,Equity,EOD Position,DD
2000-06-12,0.0,0.0,1000000.0,0.0,0.0
2000-06-13,0.0,0.0,1000000.0,0.0,0.0
2000-06-14,0.0,0.0,1000000.0,0.0,0.0
2000-06-15,0.0,0.0,1000000.0,0.0,0.0
2000-06-16,0.0,0.0,1000000.0,0.0,0.0
2000-06-19,0.0,0.0,1000000.0,0.0,0.0
2000-06-20,0.0,0.0,1000000.0,0.0,0.0
2000-06-21,0.0,0.0,1000000.0,0.0,0.0
2000-06-22,0.0,0.0,1000000.0,0.0,0.0
2000-06-23,0.0,0.0,1000000.0,0.0,0.0
2000-06-26,0.0,0.0,1000000.0,0.0,0.0
2000-06-27,0.0,0.0,1000000.0,0.0,0.0
2000-06-28,0.0,0.0,1000000.0,0.0,0.0
2000-06-29,0.0,0.0,1000000.0,0.0,0.0
2000-06-30,0.0,0.0,1000000.0,0.0,0.0
2000-07-03,0.0,0.0,1000000.0,0.0,0.0
2000-07-04,0.0,0.0,1000000.0,0.0,0.0
2000-07-05,0.0,0.0,1000000.0,0.0,0.0
2000-07-06,0.0,0.0,1000000.0,0.0,0.0
2000-07-07,0.0,0.0,1000000.0,0.0,0.0
2000-07-10,0.0,0.0,1000000.0,0.0,0.0
2000-07-11,0.0,0.0,1000000.0,0.0,0.0
2000-07-12,0.0,0.0,1000000.0,0.0,0.0
2000-07-13,0.0,0.0,1000000.0,0.0,0.0
2000-07-14,0.0,0.0,1000000.0,0.0,0.0
2000-07-17,0.0,0.0,1000000.0,0.0,0.0
2000-07-18,0.0,0.0,1000000.0,0.0,0.0
2000-07-19,0.0,0.0,1000000.0,-1.0,0.0
2000-07-20,8311.55,0.008311549999999938,1008311.55,-1.0,0.0
2000-07-21,16185.65,0.01618565000000012,1024497.2,-1.0,0.0
2000-07-24,56935.8,0.05693579999999994,1081433.0,-1.0,0.0
2000-07-25,-18776.7,-0.018776700000000063,1062656.3,-1.0,-0.018776699999999952
2000-07-26,22915.65,0.02291565000000012,1085571.95,-1.0,0.0
2000-07-27,-13426.35,-0.013426350000000031,1072145.6,-1.0,-0.01342634999999986
2000-07-28,-8580.75,-0.00858075,1063564.85,-1.0,-0.02200709999999986
2000-07-31,1333.8,0.0013337999999999664,1064898.65,-1.0,-0.020673300000000047
2000-08-01,2778.75,0.00277875,1067677.4,-1.0,-0.017894550000000047
2000-08-02,-333.45,-0.0003334500000000337,1067343.95,-1.0,-0.018228
2000-08-03,10633.35,0.0106333500000001,1077977.3,-1.0,-0.007594649999999907
2000-08-04,1519.05,0.0015190499999999663,1079496.35,-1.0,-0.00607559999999986
2000-08-07,3779.1,0.0037790999999999324,1083275.45,-1.0,-0.0022965
2000-08-08,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-09,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-10,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-11,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-14,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-16,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-17,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-18,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-21,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-22,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-23,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-24,0.0,0.0,1083275.45,0.0,-0.0022965
2000-08-25,0.0,0.0,1083275.45,1.0,-0.0022965
2000-08-28,-5890.95,-0.005890950000000034,1077384.5,1.0,-0.008187449999999954
2000-08-29,-4631.25,-0.00463125,1072753.25,1.0,-0.012818699999999954
2000-08-30,5372.25,0.00537225,1078125.5,1.0,-0.0074464499999999535
2000-08-31,13175.3,0.013175299999999933,1091300.8,1.0,0.0
2000-09-04,26314.7,0.026314700000000066,1117615.5,1.0,0.0
2000-09-05,2872.0,0.002872,1120487.5,1.0,0.0
2000-09-06,3805.4,0.0038053999999999675,1124292.9,1.0,0.0
2000-09-07,5313.2,0.005313200000000066,1129606.1,1.0,0.0
2000-09-08,18668.0,0.018668,1148274.1,1.0,0.0
2000-09-11,-12385.5,-0.0123855,1135888.6,1.0,-0.0123855
2000-09-12,12385.5,0.0123855,1148274.1,1.0,0.0
2000-09-13,-10662.3,-0.010662300000000097,1137611.8,1.0,-0.010662300000000046
2000-09-14,-4020.8,-0.004020799999999935,1133591.0,1.0,-0.01468309999999986
2000-09-15,-19314.2,-0.019314200000000066,1114276.8,1.0,-0.03399730000000005
2000-09-18,-42900.5,-0.0429005,1071376.3,1.0,-0.07689780000000004
2000-09-19,0.0,0.0,1071376.3,0.0,-0.07689780000000004
