DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
1,2000-06-13,2000-06-16,-0.009576,2000-06-13,3 days,3 days
2,2000-06-21,2000-07-19,-0.058828599999999974,2000-06-30,28 days,19 days
3,2000-07-25,2000-07-26,-0.018776699999999952,2000-07-25,1 days,1 days
4,2000-07-27,2000-09-07,-0.06161355000000028,2000-08-17,42 days,21 days
5,2000-09-11,2000-09-12,-0.0123855,2000-09-11,1 days,1 days
6,2000-09-13,2000-09-18,-0.03399730000000005,2000-09-15,5 days,3 days
7,2000-09-20,2000-09-22,-0.014790799999999814,2000-09-20,2 days,2 days
8,2000-09-25,2000-09-26,-0.014683099999999628,2000-09-25,1 days,1 days
9,2000-09-27,2000-10-13,-0.05982884999999986,2000-10-09,16 days,4 days
10,2000-10-16,2000-10-17,-0.00023369999999972062,2000-10-16,1 days,1 days
11,2000-10-19,2000-10-20,-0.02173409999999986,2000-10-19,1 days,1 days
12,2000-10-23,2000-11-02,-0.040391149999999904,2000-10-30,10 days,3 days
13,2000-11-06,2000-11-07,-0.0029186999999999534,2000-11-06,1 days,1 days
14,2000-11-10,2000-12-22,-0.10456559999999986,2000-11-27,42 days,25 days
15,2000-12-27,2001-01-24,-0.04824975,2001-01-02,28 days,22 days
16,2001-01-29,2001-01-30,-0.020869049999999813,2001-01-29,1 days,1 days
17,2001-01-31,2001-02-02,-0.015324399999999906,2001-02-01,2 days,1 days
18,2001-02-07,2001-02-08,-0.011939199999999954,2001-02-07,1 days,1 days
19,2001-02-12,2001-02-15,-0.008954399999999908,2001-02-13,3 days,2 days
20,2001-02-16,2001-02-23,-0.024351600000000095,2001-02-19,7 days,4 days
21,2001-02-28,2001-03-13,-0.0850913999999999,2001-03-02,13 days,11 days
22,2001-03-14,2001-04-11,-0.0673011000000001,2001-03-30,28 days,12 days
23,2001-04-16,2001-10-11,-0.2135163500000001,2001-08-29,178 days,43 days
24,2001-10-12,2001-10-16,-0.004455,2001-10-12,4 days,4 days
25,2001-10-18,2001-10-22,-0.015125,2001-10-18,4 days,4 days
26,2001-10-24,2001-11-15,-0.048721999999999765,2001-11-07,22 days,8 days
27,2001-11-20,2001-11-26,-0.016328,2001-11-20,6 days,6 days
28,2001-11-27,2001-12-21,-0.04649210000000009,2001-12-04,24 days,17 days
29,2001-12-24,2001-12-26,-0.003420049999999814,2001-12-24,2 days,2 days
30,2001-12-28,2002-07-26,-0.16026270000000017,2002-03-20,210 days,128 days
31,2002-07-31,2002-08-01,-0.00207,2002-07-31,1 days,1 days
32,2002-08-05,2002-11-26,-0.09554559999999986,2002-10-22,113 days,35 days
33,2002-11-27,2002-11-28,-0.004624399999999907,2002-11-27,1 days,1 days
34,2002-11-29,2002-12-02,-0.0037762000000001864,2002-11-29,3 days,3 days
35,2002-12-03,2002-12-06,-0.022752800000000045,2002-12-04,3 days,2 days
36,2002-12-09,2002-12-13,-0.01257140000000014,2002-12-09,4 days,4 days
37,2002-12-16,2002-12-24,-0.014579,2002-12-17,8 days,7 days
38,2002-12-30,2003-01-01,-0.006468,2002-12-31,2 days,1 days
39,2003-01-02,2003-01-30,-0.04707675,2003-01-17,28 days,13 days
40,2003-01-31,2003-06-13,-0.1261929500000002,2003-04-10,133 days,64 days
41,2003-06-16,2003-06-17,-0.00535,2003-06-16,1 days,1 days
42,2003-06-23,2003-06-25,-0.0105,2003-06-23,2 days,2 days
43,2003-06-27,2003-06-30,-0.0022,2003-06-27,3 days,3 days
44,2003-07-01,2003-07-02,-0.0021335999999996273,2003-07-01,1 days,1 days
45,2003-07-04,2003-07-07,-0.0009334499999997205,2003-07-04,3 days,3 days
46,2003-07-08,2003-07-10,-0.006089649999999907,2003-07-09,2 days,1 days
47,2003-07-11,2003-07-14,-0.0015112999999998137,2003-07-11,3 days,3 days
48,2003-07-15,2003-07-16,-0.011868149999999907,2003-07-15,1 days,1 days
49,2003-07-17,2003-07-22,-0.025914350000000093,2003-07-18,5 days,4 days
50,2003-07-23,2003-08-18,-0.06415819999999972,2003-08-07,26 days,11 days
51,2003-08-25,2003-08-26,-0.032750549999999816,2003-08-25,1 days,1 days
52,2003-08-28,2003-08-29,-0.00273975,2003-08-28,1 days,1 days
53,2003-09-03,2003-09-05,-0.018816,2003-09-03,2 days,2 days
54,2003-09-09,2003-09-18,-0.031457999999999764,2003-09-12,9 days,6 days
55,2003-09-19,2003-09-22,-0.01587599999999977,2003-09-19,3 days,3 days
56,2003-09-23,2003-10-03,-0.06390825,2003-09-25,10 days,8 days
57,2003-10-07,2003-10-09,-0.00497025,2003-10-07,2 days,2 days
58,2003-10-14,2003-10-16,-0.02231325,2003-10-14,2 days,2 days
59,2003-10-20,2003-11-03,-0.052099499999999535,2003-10-25,14 days,9 days
60,2003-11-05,2003-11-19,-0.023172149999999905,2003-11-17,14 days,2 days
61,2003-11-21,2003-11-28,-0.0291655,2003-11-25,7 days,3 days
62,2003-12-02,2003-12-03,-0.0015116499999999068,2003-12-02,1 days,1 days
63,2003-12-05,2003-12-09,-0.01804725,2003-12-05,4 days,4 days
64,2003-12-17,2003-12-18,-0.002498850000000093,2003-12-17,1 days,1 days
65,2003-12-23,2003-12-24,-0.0040105,2003-12-23,1 days,1 days
66,2004-01-06,2004-01-08,-0.018091799999999814,2004-01-06,2 days,2 days
67,2004-01-12,2004-01-14,-0.015764200000000186,2004-01-12,2 days,2 days
68,2004-01-15,2004-01-16,-0.021609649999999907,2004-01-15,1 days,1 days
69,2004-01-19,2004-01-20,-0.020287149999999907,2004-01-19,1 days,1 days
70,2004-01-23,2004-04-05,-0.0901416000000001,2004-01-28,73 days,68 days
